,total,ratio,cost
0,10,0.0,60.0
1,10,0.05,59.5
2,10,0.1,59.0
3,10,0.15,58.5
4,10,0.2,58.0
5,10,0.25,57.5
6,10,0.3,57.0
7,10,0.35,56.5
8,10,0.4,56.0
9,10,0.45,55.5
10,10,0.5,55.0
11,10,0.55,54.5
12,10,0.6,54.0
13,10,0.65,53.5
14,10,0.7,53.0
15,10,0.75,52.5
16,10,0.8,52.0
17,10,0.85,51.5
18,10,0.9,51.0
19,10,0.95,50.5
20,10,1.0,50.0
21,20,0.0,120.0
22,20,0.05,119.0
23,20,0.1,118.0
24,20,0.15,117.0
25,20,0.2,116.0
26,20,0.25,115.0
27,20,0.3,114.0
28,20,0.35,113.0
29,20,0.4,112.0
30,20,0.45,111.0
31,20,0.5,110.0
32,20,0.55,109.0
33,20,0.6,108.0
34,20,0.65,107.0
35,20,0.7,106.0
36,20,0.75,105.0
37,20,0.8,104.0
38,20,0.85,103.0
39,20,0.9,102.0
40,20,0.95,101.0
41,20,1.0,100.0
42,50,0.0,300.0
43,50,0.05,297.5
44,50,0.1,295.0
45,50,0.15,292.5
46,50,0.2,290.0
47,50,0.25,287.5
48,50,0.3,285.0
49,50,0.35,282.5
50,50,0.4,280.0
51,50,0.45,277.5
52,50,0.5,275.0
53,50,0.55,272.5
54,50,0.6,270.0
55,50,0.65,267.5
56,50,0.7,265.0
57,50,0.75,262.5
58,50,0.8,260.0
59,50,0.85,257.5
60,50,0.9,255.0
61,50,0.95,252.5
62,50,1.0,250.0
63,100,0.0,635.0
64,100,0.05,625.0
65,100,0.1,615.0
66,100,0.15,605.0
67,100,0.2,595.0
68,100,0.25,585.0
69,100,0.3,575.0
70,100,0.35,565.0
71,100,0.4,560.0
72,100,0.45,555.0
73,100,0.5,550.0
74,100,0.55,545.0
75,100,0.6,540.0
76,100,0.65,535.0
77,100,0.7,530.0
78,100,0.75,525.0
79,100,0.8,520.0
80,100,0.85,515.0
81,100,0.9,510.0
82,100,0.95,505.0
